#id   mth  eng  jpn
(1)  27  68  65 = 160(53.3)
(2)  52  95  76 = 223(74.3)
(3)  11  74  25 = 110(36.7)
(4)  58   9  37 = 104(34.7)
(5)  92  52  94 = 238(79.3)
(6)   3  65  97 = 165(55.0)
(7)   4  73  29 = 106(35.3)
(8)  10  89  84 = 183(61.0)
(9)  22  92  82 = 196(65.3)
(10)  45  24  72 = 141(47.0)
(11)  67  67  57 = 191(63.7)
(12)  75  36  78 = 189(63.0)
(13)  14  89  42 = 145(48.3)
(14)  89  56  68 = 213(71.0)
(15)  54  27  53 = 134(44.7)
(16)  89  82  75 = 246(82.0)
(17)  35  88  82 = 205(68.3)
(18)  89  46  75 = 210(70.0)
(19)  46  68  74 = 188(62.7)
(20)  90  28  46 = 164(54.7)
(21)  65  62  76 = 203(67.7)
(22)  66  89  24 = 179(59.7)
(23)  78  36  85 = 199(66.3)
(24)  64  87   2 = 153(51.0)
-------------------------
ave: 51.9 62.6 62.4
